Day,Superset,Exercise 1,Exercise 2,Sets,Reps
Day 1: Chest and Back,Superset 1,Pull-Ups,Incline Dumbbell Bench Press,3,"To failure / 10-12"
, Superset 2,Push-Ups,Bent Over Dumbbell Rows,3,"To failure / 10-12"
, Superset 3,Decline Dumbbell Flyes,Single-Arm Dumbbell Rows,3,"12-15 / 12-15 per arm"
Day 2: Legs and Abs,Superset 1,Pull-Ups,Dumbbell Squats,3,"To failure / 12-15"
, Superset 2,Bulgarian Split Squats,Russian Twists,3,"10-12 per leg / 20 (10 per side)"
, Superset 3,Dumbbell Deadlifts,Plank,3,"10-12 / 60 seconds"
Day 3: Shoulders and Arms,Superset 1,Pull-Ups,Seated Dumbbell Shoulder Press,3,"To failure / 10-12"
, Superset 2,Alternating Dumbbell Bicep Curls,Tricep Dips,3,"12-15 / To failure"
, Superset 3,Dumbbell Front Raises,Hammer Curls,3,"12-15 / 12-15"
Day 4: Full Body,Superset 1,Pull-Ups,Dumbbell Clean and Press,3,"To failure / 10-12"
, Superset 2,Dumbbell Lunges,Push-Ups,3,"12 per leg / To failure"
, Superset 3,Renegade Rows,Burpees,3,"10-12 per side / 10-12"
Day 5: Optional Cardio and Core,Superset 1,Mountain Climbers,Bicycle Crunches,3,"30-45 seconds / 20 (10 per side)"
, Superset 2,Jumping Jacks,Plank,3,"60 seconds / 60 seconds"
, Superset 3,High Knees,Russian Twists,3,"60 seconds / 20 (10 per side)"
